
Estado			Sigla	codigoUF	pop10		pop22
Acre			AC	12		830018		733559
Alagoas			AL	27		3127683		3120494	
Amapá			AP	16		733759	  	669526	
Amazonas		AM	13		3941613		3483985
Bahia			BA	29		14141626	14016906
Ceará			CE	23		8794957		8452381
DistritoFederal		DF	53		2817381		2570160
EspíritoSanto		ES	32		3833712		3514952
Goiás			GO	52		7056495		6003788
Maranhão		MA	21		6775805		6574789	
MatoGrosso		MT	51		3658649		3035122	
MatoGrossodoSul		MS	50		2757013		2449024	
MinasGerais		MG	31		20538718	19597330
Pará			PA	15		8121025		7581051
Paraíba			PB	25		3974687		3766528
Paraná			PR	41		11444380	10444526
Pernambuco		PE	26		9058931		8796448	
Piauí			PI	22		3271199		3118360
RiodeJaneiro		RJ	33		16054524	15989929
RioGrandedoNorte	RN	24		3302729		3168027
RioGrandedoSul		RS	43		10882965	10693929	
Rondônia		RO	11		1581196		1562409	
Roraima			RR	14		636707		450479
SantaCatarina		SC	42		7610361		6248436
SãoPaulo		SP	35		44411238	41262199	
Sergipe			SE	28		2209558		2068017
Tocantins		TO	17		1511460		1383445
