VARIÁVEL,EXPLICAÇÃO
ACIDTRAB,"Indica se o evento que desencadeou o óbito está relacionado ao processo de
trabalho. (1 – sim; 2 – não; 9 – ignorado)"
ALTCAUSA,"Indica se houve correção ou alteração da causa do óbito após investigação.
(1- Sim; 2 – Não)"
ASSISTMED,"Se refere ao atendimento médico continuado que o paciente recebeu, ou não,
durante a enfermidade que ocasionou o óbito. (1 – sim; 2 – não; 9 – ignorado)"
ATESTADO,CIDs informados no atestado. (Códigos CID 10)
ATESTANTE,"Indica se o medico que assina atendeu o paciente
1: Sim
2: Substituto
3: IML
4: SVO
5: Outros"
BAIRES,"Bairro de residencia. Este codigo e atribuido por cada
estado e/ou municipio, nao fazendo parte da base
nacional"
CARTORIO,Código do cartório onde o óbito foi registrado
CAUSABAS,Causa básica da DO. (Códigos CID 10)
CAUSABAS_O,Causa básica informada antes da resseleção. (Códigos CID 10)
CAUSAMAT,CID da causa externa associada a uma causa materna. (Códigos CID 10)
CB_PRE,Causa básica informada antes da resseleção (localidade). (Código CID 10)
CIRCOBITO,Tipo de morte violenta ou circunstâncias em que se deu a morte não natural. (1 – acidente; 2 – suicídio; 3 – homicídio; 4 – outros; 9 – ignorado)
CIRURGIA,Realização de cirurgia. (1 – sim; 2 – não; 9 – ignorado)
CODBAIOCOR,Código do bairro de ocorrência.
CODBAIRES,Código do Bairro de residência
CODESTAB,Código do estabelecimento
CODIFICADO,Informa se formulario foi codificado. (Se estiver codificado (valor: S) ou não (valor: N))
CODIGO,"Codigo do estabelecimento onde ocorreu o obito, se LOCOCOR = 1. Este codigo e atribuido por cada estado e/ou municipio, nao fazendo parte da base nacional"
CODMUNCART,Código do município do cartório
CODMUNNATU,Código do município de naturalidade do falecido.(Números)
CODMUNOCOR,Código relativo ao município onde ocorreu o óbito. (Números)
CODMUNRES,"Código do município de residência. Em caso de óbito fetal, considerar o município de residência da mãe. (Números)"
COMUNSVOIM,Código do município do SVO ou do IML
CRITICA,Dado para controle interno
CRM,Número de inscrição do Médico atestante no Conselho Regional de Medicina
CRSOCOR,"Regional de Saude de ocorrencia. Este codigo e atribuido por cada estado e/ou municipio, nao fazendo parte da base nacional"
CRSRES,"Regional de Saude de residencia. Este codigo e atribuido por cada estado e/ou municipio, nao fazendo parte da base nacional"
DATANASC,Data do nascimento do falecido. Em caso de óbito fetal as datas de óbito e nascimento deverão ser iguais.(Data no padrão ddmmaaaa)
DATAOBIT O,Data em que occoreu o óbito.(Data no padrão ddmmaaaa)
DATAREG,Data do recebimento. (Data no padrão ddmmaaaa)
DIFDATA,Diferença entre a data de óbito e data do recebimento original da DO ([DTOBITO] – [DTRECORIG]). (Números)
DTATESTADO,Data do Atestado
DTCADASTRO,Data do cadastro do óbito. (Data no padrão ddmmaaaa)
DTCADINF,Quando preenchido indica se a investigação foi realizada. (Data no padrão ddmmaaaa)
DTCADINV,Data do cadastro de investigação. (Data no padrão ddmmaaaa)
DTCONCASO,Data de conclusão do caso. (Data no padrão ddmmaaaa)
DTCONINV,Data da conclusão da investigação. (Data no padrão ddmmaaaa)
DTINVESTIG,Data da investigação do óbito. (Data no padrão ddmmaaaa)
DTNASC,Data do nascimento do falecido. Em caso de óbito fetal as datas de óbito e nascimento deverão ser iguais.(Data no padrão ddmmaaaa)
DTOBITO,Data em que occoreu o óbito.(Data no padrão ddmmaaaa)
DTRECEBIM,Data do recebimento. (Data no padrão ddmmaaaa)
DTRECORIG,Data do recebimento original. (Data no padrão ddmmaaaa)
DTRECORIGA,Campo Criado no Tratamento para Data do recebimento original. (Data no padrão ddmmaaaa)
DTREGCART,Data do registro do cartório (Data no padrão ddmmaaaa)
ESC,Escolaridade em anos. (1 – Nenhuma; 2 – de 1 a 3 anos; 3 – de 4 a 7 anos; 4 – de 8 a 11 anos; 5 – 12 anos e mais; 9 – Ignorado)
ESC2010,Escolaridade 2010. Nível da última série concluída pelo falecido. (0 – Sem escolaridade; 1 – Fundamental I (1ª a 4ª série); 2 – Fundamental II (5ª a 8ª série); 3 – Médio (antigo 2º Grau); 4 – Superior incompleto; 5 – Superior completo; 9 – Ignorado)
ESCFALAGR1,Escolaridade do falecido agregada (formulário a partir de 2010). (00 – Sem Escolaridade; 01 – Fundamental I Incompleto; 02 – Fundamental I Completo; 03 – Fundamental II Incompleto; 04 – Fundamental II Completo; 05 – Ensino Médio Incompleto; 06 – Ensino Médio Completo; 07 – Superior Incompleto; 08 – Superior Completo; 09 – Ignorado; 10 – Fundamental I Incompleto ou Inespecífico; 11 – Fundamental II Incompleto ou Inespecífico; 12 – Ensino Médio Incompleto ou Inespecífico)
ESCMAE,Escolaridade da mãe em anos. (1 – Nenhuma; 2 – de 1 a 3 anos; 3 – de 4 a 7 anos; 4 – de 8 a 11 anos; 5 – 12 anos e mais; 9 – Ignorado)
ESCMAE2010,Escolaridade 2010. Nível da última série concluída pela mãe. (0 – Sem escolaridade; 1 – Fundamental I (1ª a 4ª série); 2 – Fundamental II (5ª a 8ª série); 3 – Médio (antigo 2º Grau); 4 – Superior incompleto; 5 – Superior completo; 9 – Ignorado)
ESCMAEAGR1,Escolaridade da mãe agregada (formulário a partir de 2010). (00 – Sem Escolaridade; 01 – Fundamental I Incompleto; 02 – Fundamental I Completo; 03 – Fundamental II Incompleto; 04 – Fundamental II Completo; 05 – Ensino Médio Incompleto; 06 – Ensino Médio Completo; 07 – Superior Incompleto; 08 – Superior Completo; 09 – Ignorado; 10 – Fundamental I Incompleto ou Inespecífico; 11 – Fundamental II Incompleto ou Inespecífico; 12 – Ensino Médio Incompleto ou Inespecífico)
